method_id,theta_0_nominal,theta_0_measured,h,plateau,dphi_plateau
PRK,1e-10,9.999999999999712e-11,2.0,0.002008088243965309,7.909303592026748e-07
PRK,1e-10,9.999999999999712e-11,1.0,0.0003981412257872311,1.5673107338385003e-07
PRK,1e-10,9.999999999999712e-11,0.5,9.334558266532476e-05,3.6585364572640307e-08
PRK,1e-10,9.999999999999712e-11,0.25,2.10986730476358e-05,8.123409953809392e-09
PRK,1e-08,1.0000000000000012e-08,2.0,0.001985227282133884,7.772584782928054e-07
PRK,1e-08,1.0000000000000012e-08,1.0,0.00035839736091802625,1.4062775608494943e-07
PRK,1e-08,1.0000000000000012e-08,0.5,9.484486969568091e-05,6.776280162156359e-08
PRK,1e-08,1.0000000000000012e-08,0.25,0.00020173336103432134,1.538701178863818e-07
PRK,1e-06,1e-06,2.0,0.002245505076633731,1.6726940188444016e-06
PRK,1e-06,1e-06,1.0,0.005179933428097009,3.892032146620116e-06
PRK,1e-06,1e-06,0.5,0.010935121683166647,7.973813509362628e-06
PRK,1e-06,1e-06,0.25,0.02200962186186722,1.599363059783033e-05
PRK,0.0001,0.0001,2.0,0.273669451812761,0.00019944178342220733
PRK,0.0001,0.0001,1.0,0.5503849872898212,0.0003998886502449438
PRK,0.0001,0.0001,0.5,1.1013639100044537,0.0007999730308307734
PRK,0.0001,0.0001,0.25,2.202868816490569,0.0015999922138614855
RadauIIA,1e-10,9.999999999999712e-11,0.5,1.5011707391175253e-05,5.920206899167412e-09
RadauIIA,1e-08,1.0000000000000012e-08,0.5,1.501184229938788e-05,5.920206899510537e-09
RadauIIA,1e-06,1e-06,0.5,1.5025334173846078e-05,5.920206899025341e-09
RadauIIA,0.0001,0.0001,0.5,1.638472740249105e-05,5.920206899135879e-09
RadauIIA,0.0001,0.0001,2.0,0.0009080495225325296,3.5710087968424915e-07
RadauIIA,0.0001,0.0001,1.0,0.00011386878665709083,4.431767841866358e-08
RadauIIA,0.0001,0.0001,0.25,3.337792041704988e-06,7.649555170660136e-10
LobattoIIIC,1e-10,9.999999999999712e-11,0.5,0.00034080310288176846,1.3424983249201703e-07
LobattoIIIC,1e-08,1.0000000000000012e-08,0.5,0.0003408032377866292,1.3424983249158322e-07
LobattoIIIC,1e-06,1e-06,0.5,0.0003408167281481264,1.3424983249216606e-07
LobattoIIIC,0.0001,0.0001,0.5,0.0003421658774883794,1.3424983249197005e-07
LobattoIIIC,0.0001,0.0001,2.0,0.005467242524337985,2.152972688181236e-06
LobattoIIIC,0.0001,0.0001,1.0,0.001302982903402748,5.127118564684257e-07
LobattoIIIC,0.0001,0.0001,0.25,8.856326784525318e-05,3.4350776311102664e-08
