theta_0,h=2,h=1,h=0.5,h=0.25
1e-10,1.5818607184053496e-06,1.5673107338385003e-07,1.8292682286320153e-08,2.030852488452348e-09
1e-08,1.5545169565856108e-06,1.4062775608494943e-07,3.3881400810781796e-08,3.846752947159545e-08
1e-06,3.3453880376888033e-06,3.892032146620116e-06,3.986906754681314e-06,3.998407649457582e-06
0.0001,0.00039888356684441466,0.0003998886502449438,0.0003999865154153867,0.0003999980534653714
